qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor,LMA_g_m2,N_area_mg_cm2,LAI_m2_m2,C_area_mg_cm2,Chl_area_ug_cm2,EWT_mg_cm2,Car_area_ug_cm2,P_area_mg_cm2,Lignin_mg_cm2,Cellulose_mg_cm2,Fiber_mg_cm2,Anth_area_ug_cm2,NSC_mg_cm2,Mg_area_mg_cm2,Ca_area_mg_cm2,Potassium_area_mg_cm2,Boron_area_mg_cm2,Cu_area_mg_cm2,S_area_mg_cm2,Mn_area_mg_cm2
0.04782939,0.243267906,0.000481755,0.610829807,3.76540968,,0.030515902,,12.47039371,3.22080523,1.914247255,,,,,0.239558628,,,,,,,,
0.08329913,0.423672665,0.001189232,1.507859734,13.18904149,,0.995729986,,14.54615279,6.606498756,2.632830731,,,,,0.082845679,,,,,,,,
0.058043331,0.295217641,0.000751078,0.952312576,19.48669242,,1.972102201,,5.65686508,7.22036149,3.96284897,,,,,0.308186857,,,,,,,,
0.050801545,0.258384764,0.000515193,0.653227025,7.79436859,,0.724404155,,15.2296715,2.74446832,2.455808858,,,,,0.199031196,,,,,,,,
0.093238711,0.47422696,0.000691026,0.876171403,6.95149386,,0.622949275,,9.18843959,0.64929372,0.27959465,,,,,0.429782901,,,,,,,,
0.051095754,0.259881156,0.000518829,0.657837062,10.31425339,,1.344606334,,1.94883439,0.35291825,1.05682584,,,,,0.436001139,,,,,,,,
0.059197605,0.301088461,0.000559479,0.709378779,20.37746856,,1.262025195,,18.49693296,9.73124082,1.054541806,,,,,0.263497722,,,,,,,,
0.075885683,0.385966691,0.000741452,0.940107316,11.75040789,,1.112352675,,15.37978879,6.69572469,0.46759676,,,,,0.442843577,,,,,,,,
0.463619351,2.358041983,0.005819917,7.379232164,3.43432257,,1.023885491,,22.79102478,0.51736963,2.97293611,,,,,0.332848109,,,,,,,,
0.146649301,0.74588174,0.000797719,1.011449516,28.99321372,,0.4305722,,22.73116157,5.48451374,2.902276655,,,,,0.395669431,,,,,,,,
0.051629037,0.262593517,0.000721097,0.91429867,21.52187194,,0.64697127,,8.20766194,1.10262029,0.289327329,,,,,0.292393007,,,,,,,,
0.109762222,0.558268169,0.000938088,1.189427146,45.17488411,,1.271939368,,13.77102516,1.22349786,0.669999692,,,,,0.079527599,,,,,,,,
0.043909103,0.223328701,0.000493139,0.62526451,18.74033725,,0.126384593,,2.15535436,1.22100005,0.16012918,,,,,0.15904038,,,,,,,,
0.070645332,0.35931343,0.000938594,1.190069528,1.12910097,,1.371071722,,1.01884545,5.13202927,0.15964882,,,,,0.095447601,,,,,,,,
0.066449434,0.33797242,0.000985742,1.249848851,42.09461858,,0.544577067,,9.54312753,3.44518581,1.04882763,,,,,0.130837597,,,,,,,,
0.066413254,0.337788402,0.000474304,0.601383011,10.13021925,,1.719537971,,2.78465446,2.81885852,0.801196496,,,,,0.469370007,,,,,,,,
0.110014558,0.559551592,0.00345847,4.385089178,32.08268579,,1.862842876,,6.07162228,4.477048798,1.135474144,,,,,0.047395102,,,,,,,,
0.060435295,0.307383552,0.000366122,0.464215538,33.00336493,,0.226028871,,1.50558307,2.02865171,0.333989748,,,,,0.012713417,,,,,,,,
0.056816846,0.288979543,0.000447541,0.567450121,24.6058017,,0.031798393,,1.02384086,2.56090566,0.049357626,,,,,0.010998942,,,,,,,,
0.057763278,0.293793249,0.000451982,0.573080411,1.36080653,,1.194981538,,0.60192291,0.59618114,0.13423005,,,,,0.030285946,,,,,,,,
0.276675791,1.407217209,0.000620008,0.786124547,1.51335017,,1.923624347,,18.88125629,0.98647972,0.05762651,,,,,0.544815805,,,,,,,,
0.056232929,0.286009649,0.000549972,0.697324667,28.67417746,,0.425836237,,14.16013134,6.56328434,0.489472314,,,,,0.034556789,,,,,,,,
0.057379544,0.291841513,0.000254512,0.322702539,1.33752148,,0.58710114,,10.72265657,5.38391349,1.91989401,,,,,0.449917939,,,,,,,,
0.074329793,0.378053187,0.000419438,0.531816808,1.2053803,,0.331728624,,4.34206411,5.253303262,1.193149806,,,,,0.132361051,,,,,,,,
0.058354914,0.296802403,0.00040561,0.514283555,19.6691273,,1.302104426,,14.82090732,2.78969263,3.99792848,,,,,0.608112993,,,,,,,,
0.062915832,0.319999958,0.000258267,0.327463724,12.6597016,,2.397045101,,2.0143217,1.41852987,1.102320211,,,,,0.072802408,,,,,,,,
0.193356305,0.983441015,0.000874609,1.108940447,11.05817426,,0.339951462,,2.07768668,5.98789,0.44410842,,,,,0.340286267,,,,,,,,
0.064456731,0.327837217,0.000408351,0.517759976,19.05804534,,1.222767913,,1.40057002,8.77913858,1.15487146,,,,,0.349939522,,,,,,,,
0.059695333,0.303619988,0.00043872,0.556265115,11.36254297,,1.564211534,,18.37365806,8.57877353,0.922544807,,,,,0.239408199,,,,,,,,
0.14626953,0.743950164,0.000376761,0.477705562,11.1132163,,0.229823579,,10.19765517,0.61731736,0.555184382,,,,,0.538460446,,,,,,,,
0.065856963,0.334959022,0.000344366,0.436630895,9.69970794,,2.074012565,,17.6729266,0.46917384,1.13369013,,,,,0.369374961,,,,,,,,
0.207645327,1.056117258,0.000533223,0.676088271,32.13992357,,1.1245705,,20.09862016,9.59639151,1.89180315,,,,,0.248776221,,,,,,,,
0.064875424,0.329966756,0.000650227,0.82444075,0.27956103,,0.256368079,,4.82322618,1.19523267,1.375397495,,,,,0.457092674,,,,,,,,
0.047747821,0.242853033,0.000339568,0.430547158,0.98308357,,0.809970602,,4.38092699,1.12181503,0.08833848,,,,,0.127614364,,,,,,,,
0.045333743,0.23057465,0.000432104,0.54787636,15.23631726,,0.14891412,,4.35208078,0.91493073,1.17600773,,,,,0.357709553,,,,,,,,
0.058095187,0.295481389,0.000658333,0.834718863,12.99823878,,0.003141,,7.40648836,3.45618889,1.00309278,,,,,0.097174572,,,,,,,,
0.066933036,0.340432098,0.000480443,0.60916717,1.60263041,,1.686442812,,6.04928824,3.58517749,1.040454874,,,,,0.268977087,,,,,,,,
0.057327449,0.291576553,0.000391334,0.496183495,38.62891766,,1.106711808,,1.37542094,0.74188402,0.426232238,,,,,0.295727992,,,,,,,,
0.054076314,0.27504076,0.000292659,0.371070133,9.26554891,,1.669043975,,5.87125741,0.63783661,0.404105365,,,,,0.184018915,,,,,,,,
0.058346063,0.296757384,0.000357151,0.452841596,14.28401969,,1.48398914,,2.34572189,6.00706291,0.578262478,,,,,0.094155869,,,,,,,,
0.199793369,1.016180946,0.000752866,0.954579807,10.4472826,,0.236698101,,20.71604673,1.19973901,1.8760799,,,,,0.549376552,,,,,,,,
0.04671061,0.237577616,0.000584453,0.741044438,18.94200444,,1.246922184,,8.62181662,5.67319559,0.534732795,,,,,0.140681761,,,,,,,,
0.066887498,0.340200485,0.000438392,0.555849456,9.55076846,,1.448643813,,8.13253326,5.81306286,0.383535128,,,,,0.044672324,,,,,,,,
0.052620083,0.267634137,0.000536621,0.68039601,22.4272554,,0.047702889,,0.28411349,5.799884017,0.494840798,,,,,0.137251462,,,,,,,,
0.056928128,0.289545541,0.000469595,0.595412636,8.76905288,,1.254218748,,7.30951769,0.9435337,3.25068815,,,,,0.37601805,,,,,,,,
0.059016526,0.300167465,0.000366032,0.464102177,8.73051078,,0.131461365,,9.70400569,5.49598006,1.265240053,,,,,0.155751079,,,,,,,,
0.101520926,0.516351624,0.000912011,1.156363362,7.8858198,,0.190950499,,15.08822767,6.37548659,0.29794301,,,,,0.575980118,,,,,,,,
